d_loss,epoch,created_at,g_loss
113.73439025878906,24,2019-12-13 05:27:27.868364,
102.5489730834961,24,2019-12-13 05:27:27.987971,
94.38980865478516,24,2019-12-13 05:27:28.099851,-5292.9482421875
111.29551696777344,24,2019-12-13 05:27:28.209509,
101.0364761352539,24,2019-12-13 05:27:28.319796,
101.35453033447266,24,2019-12-13 05:27:28.436896,
84.37939453125,24,2019-12-13 05:27:28.550535,
102.75625610351562,24,2019-12-13 05:27:28.671993,
82.49165344238281,24,2019-12-13 05:27:28.788472,
94.85279846191406,24,2019-12-13 05:27:28.901216,
95.18824768066406,24,2019-12-13 05:27:29.015575,
94.88249206542969,24,2019-12-13 05:27:29.133729,
96.09358978271484,24,2019-12-13 05:27:29.245285,
108.86051940917969,24,2019-12-13 05:27:29.357326,
94.08738708496094,24,2019-12-13 05:27:29.471809,
111.05052947998047,24,2019-12-13 05:27:29.584380,
84.83902740478516,24,2019-12-13 05:27:29.701264,
89.8658218383789,24,2019-12-13 05:27:29.812074,
86.56885528564453,24,2019-12-13 05:27:29.926392,
94.60572814941406,24,2019-12-13 05:27:30.040851,
91.96907043457031,24,2019-12-13 05:27:30.156214,
104.62999725341797,24,2019-12-13 05:27:30.272854,
100.59544372558594,24,2019-12-13 05:27:30.384113,
89.68385314941406,24,2019-12-13 05:27:30.503478,-5086.0771484375
101.54356384277344,24,2019-12-13 05:27:30.617900,
87.22023010253906,24,2019-12-13 05:27:30.733707,
94.55732727050781,24,2019-12-13 05:27:30.852906,
91.03016662597656,24,2019-12-13 05:27:30.972309,
96.57334899902344,24,2019-12-13 05:27:31.086704,
98.45537567138672,24,2019-12-13 05:27:31.204748,
98.19346618652344,24,2019-12-13 05:27:31.316936,
85.97616577148438,24,2019-12-13 05:27:31.438327,
95.34161376953125,24,2019-12-13 05:27:31.552620,
89.33020782470703,24,2019-12-13 05:27:31.671036,
102.69970703125,24,2019-12-13 05:27:31.784563,
82.45150756835938,24,2019-12-13 05:27:31.897511,
88.39405059814453,24,2019-12-13 05:27:32.015772,
85.8671875,24,2019-12-13 05:27:32.129909,
93.37162017822266,24,2019-12-13 05:27:32.243381,
95.86666870117188,24,2019-12-13 05:27:32.352170,
95.22956085205078,24,2019-12-13 05:27:32.467910,
97.43790435791016,24,2019-12-13 05:27:32.584639,
108.24707794189453,24,2019-12-13 05:27:32.702892,
106.56537628173828,24,2019-12-13 05:27:32.811270,
65.88720703125,24,2019-12-13 05:27:32.925880,-4844.81396484375
99.62425994873047,25,2019-12-13 05:27:33.047386,
87.2299575805664,25,2019-12-13 05:27:33.165514,
94.2462387084961,25,2019-12-13 05:27:33.276357,
84.071533203125,25,2019-12-13 05:27:33.386323,
84.98858642578125,25,2019-12-13 05:27:33.515730,
81.26373291015625,25,2019-12-13 05:27:33.646725,
88.97252655029297,25,2019-12-13 05:27:33.774281,
89.88728332519531,25,2019-12-13 05:27:33.897152,
